Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (Mean),CV F1 (Std),False Negatives,False Positives
Logistic Regression,0.9021739130434783,0.8962264150943396,0.9313725490196079,0.9134615384615384,0.9366331898613104,0.8750560288689255,0.029510867099897756,7,11
Decision Tree,0.8152173913043478,0.84,0.8235294117647058,0.8316831683168316,0.8452893352462936,0.8467924556798561,0.020744741266597422,18,16
Random Forest,0.8967391304347826,0.8878504672897196,0.9313725490196079,0.9090909090909091,0.9330463892874222,0.8884793720335888,0.03580243119645556,7,12
Support Vector Machine,0.8804347826086957,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.9439263510282161,0.8783416071736635,0.03121567733448601,9,13
